"","random_sample1","random_sample2","random_sample3","random_sample4","random_sample5","random_sample6","random_sample7","random_sample8","random_sample9","random_sample10"
"CDC42",6326,5037,6034,6494,4493,7642,6177,7428,5333,6188
"ZBTB40",589,1016,1646,449,601,873,572,684,838,955
"HSPG2",1579,816,1332,2099,2383,1336,470,1853,1293,3204
"LDLRAD2",15,5,15,29,34,11,6,44,17,45
"LUZP1",968,922,3406,1770,2066,968,1091,1917,1411,2859
"TCEA3",256,959,1605,1040,835,1360,1016,266,1244,2467
"E2F2",0,0,0,0,0,0,15,0,0,0
"IFNLR1",208,60,338,180,118,97,40,137,238,80
"NIPAL3",1868,1353,1990,1539,1989,2815,730,2449,1825,2121
"NCMAP",390,602,446,399,731,535,332,323,406,934
"TMEM57",430,990,939,1174,689,546,424,761,577,1515
"RHCE",128,31,0,17,34,18,50,1,27,2
"MAN1C1",747,792,996,391,803,845,1173,904,1102,1664
"LIN28A",2,4,6,0,0,0,0,0,0,0
"RPS6KA1",2516,554,1466,3418,567,3017,2612,3005,1904,1196
"SH3BGRL3",33086,28851,22337,48234,25772,33695,29183,37605,32080,36030
"WASF2",2782,4321,3519,5729,3899,1806,2609,4509,4396,5844
"TMEM222",2566,2765,3713,2819,2488,3642,2478,3684,4254,5316
"AHDC1",397,334,431,319,491,291,262,441,280,472
"PHACTR4",1087,2510,1630,1813,1326,2322,1492,1190,2211,2725
"TAF12",3889,2480,2414,2607,2543,3477,2784,3210,3026,2674
"SNHG3",1208,1197,1362,1646,1073,1848,1712,1893,1231,2727
"RCC1",100,653,480,269,159,211,397,113,296,792
"PTPRU",59,537,594,660,652,1100,298,779,382,825
"SRSF4",4715,3460,4573,4099,3238,4465,3936,3536,3800,3962
"MATN1",5,5,14,0,5,3,10,1,10,3
"MATN1-AS1",12,1,22,34,4,12,20,5,29,49
"PTP4A2",3155,3704,4724,4658,4720,4954,3928,4023,3845,5423
"SYNC",0,0,44,44,47,0,0,0,0,0
"ZBTB8A",348,974,426,499,726,261,669,281,888,550
"RNF19B",536,234,544,540,452,270,327,851,512,490
"S100PBP",348,522,634,425,281,1390,551,460,402,967
"HDAC1",5778,5100,9071,5528,4991,4611,3886,5769,6393,6844
"KPNA6",7141,5931,7005,7248,5164,7351,8044,6708,7386,5749
"PHC2",4182,2994,3722,4334,2663,4623,3923,4763,3047,2789
"ZSCAN20",6,19,77,270,84,21,27,0,120,23
"CSMD2-AS1",0,0,0,0,0,0,0,0,0,0
"AGO3",299,299,301,350,412,278,304,316,342,312
"ZMYM4",3445,950,2511,2859,1824,3436,2306,4110,2659,2038
"AGO4",189,817,262,282,463,310,309,266,624,364
"KIAA0319L",2413,2231,2763,2219,2426,3122,1859,3122,2144,3117
"TFAP2E",5,0,0,0,1,0,0,0,121,121
"STK40",1655,844,1868,914,1800,1662,1523,1489,1744,2546
"GRIK3",16,19,23,3,26,0,22,16,22,1
"YRDC",349,626,765,324,501,431,442,488,851,797
"SNIP1",1436,771,907,1656,854,1838,1621,1770,1306,609
"INPP5B",608,1088,647,362,657,660,840,641,1259,848
"RRAGC",1690,2715,3090,1194,1558,2015,1147,1262,2501,1091
"RLF",1680,1146,957,446,2077,1405,1224,817,2113,781
"BMP8B",60,63,35,39,174,59,61,87,22,41
"BMP8A",2102,2778,3619,1047,3650,2407,1154,1816,2356,1754
"SCMH1",759,2352,1340,1096,962,1578,987,419,1452,1988
"KCNQ4",1,15,87,74,57,0,6,0,30,0
"NFYC-AS1",302,289,158,112,51,217,232,1,566,207
"FOXJ3",4928,1696,2024,3904,2173,4441,3406,4384,2892,2208
"HIVEP3",1035,1534,830,866,1168,605,663,865,1133,892
"RIMKLA",323,363,395,238,282,184,192,204,582,665
"WDR65",1,3,21,10,6,0,20,23,13,10
"LOC100129924",0,31,0,31,0,0,8,0,0,3
"TIE1",1508,357,1543,1901,2425,247,442,1826,580,2991
"SZT2",858,1691,1080,1110,1150,1210,1871,296,1470,2957
"ST3GAL3",534,881,763,168,209,189,997,355,483,195
"IPO13",1543,1112,1406,377,860,871,712,886,1164,1316
"ERI3",3007,3522,3524,1515,2741,3215,2549,2108,3477,2957
"KDM4A-AS1",17,9,90,113,35,33,13,162,11,6
"ERI3-IT1",2,1,8,1,1,0,1,5,1,3
"TESK2",1157,354,328,1569,145,1440,1272,1421,651,375
"EIF2B3",2451,3195,1999,1448,4457,2248,2433,1783,2790,2362
"ZSWIM5",589,157,639,234,304,562,221,142,411,221
"KIF2C",2,2,5,1,21,0,19,1,6,8
"POMGNT1",1753,1643,3124,1875,2397,1399,1509,1948,2017,1897
"PIK3R3",231,535,551,491,441,763,636,1032,356,1033
"MAST2",461,409,813,852,556,521,512,340,517,875
"MKNK1",1676,1802,1350,1943,1256,1974,1978,1155,1794,1407
"CMPK1",4278,7035,6802,4827,6785,7289,4287,4861,4874,7075
"CYP4Z2P",0,0,0,0,0,0,0,0,0,0
"CYP4Z1",0,0,0,5,0,0,0,0,0,0
"SPATA6",468,174,316,132,788,360,745,659,195,273
"SKINTL",0,0,26,0,0,0,0,0,23,0
"ELAVL4",1884,1611,877,535,1935,2093,1764,1095,1215,2058
"TTC39A",3574,2788,2509,1246,3587,3455,3368,3742,3147,2050
"OSBPL9",5071,5352,5119,4081,4920,5300,3756,6840,4907,8379
"NRD1",8167,5351,8905,3100,3705,5925,4231,4406,5360,5478
"EPS15",2841,2955,2542,1668,2732,1918,1741,2849,1853,1929
"ZYG11B",754,527,719,790,560,430,606,524,586,773
"ZCCHC11",2192,2839,1969,1121,932,1321,2069,3420,1606,2313
"ZFYVE9",691,347,515,249,359,151,497,283,820,550
"CC2D1B",1141,1641,1219,1127,1491,1260,1455,557,1426,1441
"ZYG11A",0,1,0,0,1,1,11,0,0,1
"GLIS1",0,0,3,0,6,0,3,0,0,3
"LRP8",13,69,72,3,25,119,88,179,35,60
"HSPB11",3307,2772,2156,1946,2078,2718,2350,4338,2147,2943
"NDC1",1208,2005,1730,589,422,1035,211,1169,557,1196
"CYB5RL",101,111,306,235,35,240,65,55,220,290
"ACOT11",203,146,173,257,155,421,109,134,281,397
"MROH7-TTC4",0,4,31,4,0,0,4,3,0,16
"SSBP3",392,918,867,281,733,932,686,544,890,869
"PRKAA2",320,187,228,133,291,74,403,432,62,259
"C1orf168",186,283,209,177,155,487,468,537,289,128
"PPAP2B",4928,2042,5916,7942,6342,6984,1624,4446,5920,11426
"C8B",0,49,7,0,43,42,0,0,3,42
"DAB1-AS1",0,0,0,0,0,0,0,0,0,0
"OMA1",1664,2883,1958,1221,1281,1282,1399,1858,1960,1807
"LINC01358",0,0,2,0,0,0,0,0,0,0
"HOOK1",2524,2063,3183,1939,2841,3844,2012,2046,2888,1538
"LOC101926964",0,1,1,1,3,0,2,0,0,3
"KANK4",18,56,7,103,52,0,106,50,6,35
"INADL",2086,2336,1650,1656,1819,2145,1764,1342,1233,2297
"ATG4C",748,577,144,480,1831,747,752,936,1269,718
"DOCK7",873,552,1460,325,264,668,842,481,1457,1292
"LINC00466",0,0,0,0,0,0,0,0,0,0
"ROR1",925,844,928,313,753,569,991,759,1149,1362
"PGM1",3332,5130,5227,2541,2656,4594,3843,3402,4373,4577
"DNAJC6",658,870,1328,165,650,864,763,596,703,979
"RAVER2",350,888,959,476,199,570,381,258,245,392
"AK4",78,42,262,23,218,105,83,121,33,236
"JAK1",11205,11103,10359,10811,13069,12321,8635,11826,11080,15806
"PDE4B",997,358,360,1408,439,2179,352,694,1947,1249
"WDR78",231,957,224,236,551,38,360,256,599,302
"IL23R",0,0,0,0,2,0,8,0,3,1
"SLC35D1",1494,1288,589,903,1099,1084,647,887,1308,649
"TCTEX1D1",169,332,0,332,166,1,88,166,170,172
"SERBP1",2820,4564,3039,3477,2825,3575,3058,3978,3714,4051
"DEPDC1",0,0,0,0,0,0,5,0,0,0
"WLS",2981,3404,4747,3150,3957,2717,2396,2815,3500,5106
"GNG12-AS1",0,12,5,3,1,4,4,0,3,57
"GNG12",4069,6937,5921,4420,4082,4906,4134,3088,5102,4939
"PIN1P1",185,153,143,175,147,201,136,147,175,189
"ANKRD13C",1243,1076,1611,1067,2063,1456,1461,1072,1347,1660
"LRRC40",1180,1361,689,565,636,1536,941,1485,929,897
"PTGER3",366,88,443,22,37,84,173,255,365,100
"ZRANB2-AS2",10,10,63,127,207,68,18,16,11,137
"LINC01360",0,0,0,0,0,0,0,0,0,0
"TNNI3K",0,0,0,0,0,0,0,0,0,0
"FPGT-TNNI3K",0,0,0,1.5,4,0,0,0,0,0
"LRRIQ3",37,278,103,2,91,234,144,28,123,48
"ERICH3",160,358,106,120,238,309,189,30,216,46
"MSH4",0,0,2,0,0,0,0,0,0,0
"SLC44A5",234,346,158,185,138,527,116,184,224,146
"ST6GALNAC5",886,313,311,312,1067,847,497,1066,47,306
"NEXN",204,414,244,355,70,263,263,63,386,298
"AK5",578,398,342,229,406,225,225,223,347,34
"ZZZ3",3843,3431,2935,2551,1510,3875,2298,4161,2799,2781
"GIPC2",49,1082,813,595,930,908,299,141,432,782
"FAM73A",855,1427,1147,1816,1469,1018,1041,1361,1226,2252
"MGC27382",0,0,0,0,0,0,0,0,4,2
"ELTD1",3218,1336,2282,2079,2301,2609,114,2932,2875,2538
"LPHN2",1907,805,1939,1064,2111,1597,163,2018,995,1820
"SAMD13",450,493,300,139,263,26,400,285,502,10
"PRKACB",2844,1431,3996,1615,4269,2418,2585,2503,1696,1948
"MIR548AP",0,0,2,0,0,0,1,1,0,0
"TTLL7",437,665,663,286,403,375,550,422,253,383
"LOC101927560",50,17,61,15,15,40,22,22,158,98
"LOC101927587",125,57,93,24,39,39,57,245,115,48
"C1orf52",1395,1783,2061,1125,950,1721,986,851,2140,1236
"WDR63",0,1,39,4,0,13,4,1,0,37
"LPAR3",6,65,110,117,2,185,176,25,155,61
"MCOLN2",0,0,0,0,0,0,0,0,0,0
"CLCA2",0,0,1,1,1,0,0,0,0,0
"COL24A1",18,3,17,0,0,34,17,0,0,0
"HS2ST1",686,1942,1383,716,586,1129,581,805,1108,935
"LOC101927844",0,0,0,0,0,0,1,0,0,0
"LRRC8B",453,940,726,649,522,440,200,678,642,865
"PKN2",1692,1652,1642,1567,1336,1873,882,1992,1401,2414
"GBP4",259,151,987,375,871,437,69,88,463,885
"GBP1",460,939,62,981,469,580,113,92,465,105
"LRRC8D",1027,1339,1649,608,518,792,715,463,1151,1621
"HFM1",133,213,174,5,118,16,276,62,13,168
"RPAP2",527,740,614,575,1008,939,713,295,112,569
"EVI5",572,1164,1252,1109,1242,2269,841,1109,1211,1979
"FNBP1L",2547,3551,3242,2575,2426,3633,1544,2133,2026,2865
"MTF2",962,1585,2049,1110,2303,2673,1267,1216,1622,2116
"BCAR3",804,504,644,225,334,489,241,338,347,505
"CCDC18",54,51,122,75,122,74,68,76,51,187
"ABCA4",17,19,74,0,51,148,74,127,110,148
"SLC44A3",479,1759,2389,1686,1714,1031,1467,805,2219,2533
"ABCD3",2082,3682,2603,2444,4932,4186,5208,3127,4662,3194
"LINC01057",16,303,222,267,215,43,107,37,133,244
"TMEM56-RWDD3",0,25,9,22,22,26,8,1,4,3
"FLJ31662",0,0,0,0,0,0,0,0,0,0
"PTBP2",940,1711,870,875,1345,1303,1038,1359,869,739
"LOC101928241",0,0,1,1,0,0,0,0,0,2
"DPYD",393,733,535,432,852,737,473,99,957,651
"DPYD-AS1",2,0,0,0,0,0,0,0,0,0
"SNX7",520,945,674,416,627,770,667,574,422,696
"LOC100129620",0,0,0,0,0,0,1,2,0,0
"LOC729987",0,0,0,0,0,0,0,0,0,1
"PALMD",1,55,50,22,8,519,18,26,51,19
"HIAT1",7551,5795,3856,3402,6925,4527,2646,6675,5178,7181
"LPPR4",269,557,328,39,203,204,717,234,107,596
"VCAM1",9,4169,605,752,3013,3283,1380,49,86,1763
"CDC14A",84,51,24,28,54,257,60,281,137,91
"OLFM3",1,0,0,0,0,0,0,5,1,0
"COL11A1",2,3,5,3,0,1,1,1,1,1
"RNPC3",1646,1424,1716,2509,1035,1111,1337,1393,1183,1952
"AMY1A",0,0,0,0,0,0,0,0,0,0
"AMY1B",0,0,0,0,0,0,0,0,0,0
"AMY1C",0,0,0,0,0,0,0,0,0,0
"VAV3",86,356,615,251,499,831,65,345,366,1243
"VAV3-AS1",0,0,0,0,0,0,0,0,0,0
"MYBPHL",215,0,107,0,4,10,9,6,104,0
"WDR47",778,1609,1796,1091,693,1635,1177,847,524,725
"KIAA1324",22466,19026,20613,8236,16969,17839,24079,16520,22328,21964
"GPSM2",131,18,29,25,33,32,86,74,17,86
"STXBP3",3508,5675,2848,1951,5051,5345,2301,5975,2355,5982
"GSTM1",222,486,456,354,735,730,390,633,194,742
"KCNC4",486,700,477,285,572,115,424,315,200,418
"RBM15",156,205,427,102,163,87,76,225,361,602
"DRAM2",5682,2640,4773,5061,2769,5094,4711,5188,4529,3273
"ADORA3",75,22,265,413,331,0,28,180,15,353
"ST7L",1505,2922,1788,1517,1173,2446,1672,1688,2103,1353
"KCND3",16,67,18,20,43,57,90,7,7,5
"CTTNBP2NL",751,2369,1194,1034,685,883,414,1058,727,1558
"LRIG2",343,310,925,377,376,414,412,233,411,554
"MAGI3",305,460,486,669,488,353,249,142,554,895
"LINC01356",0,0,0,0,0,0,0,0,0,0
"TRIM33",1083,1572,2018,1476,1428,912,1200,539,2023,1989
"DENND2C",23,20,38,176,34,28,12,68,68,57
"SYT6",0,0,3,3,0,0,0,0,3,16
"AP4B1-AS1",14,0,2,6,6,1,5,16,45,14
"BCL2L15",12,251,92,471,126,180,232,4,206,266
"SYCP1",0,0,0,0,0,0,0,0,0,0
"NGF",431,14,1025,1,372,660,161,16,804,302
"TSPAN2",3297,1228,1763,364,1446,2471,1846,2711,1483,2457
"CASQ2",0,0,0,0,0,0,0,0,0,0
"CD2",0,0,0,0,0,0,0,0,0,0
"IGSF3",8,131,59,78,25,66,31,143,38,290
"SLC22A15",150,303,785,305,582,269,372,176,698,190
"ATP1A1",7639,23447,31635,25698,20544,18540,12704,8467,22992,29202
"CD101",7,8,43,25,19,0,5,4,0,0
"VTCN1",28,1772,1200,1537,1949,2410,102,52,1337,1274
"MAN1A2",649,1611,1086,1038,1247,651,691,1555,802,1807
"LOC101929099",6,0,6,18,97,91,0,0,3,0
"SPAG17",7,9,45,96,38,0,0,27,0,16
"HAO2",0,0,0,0,0,0,0,0,0,0
"WARS2",81,210,677,447,1171,533,353,1072,392,753
"FAM72B",0,0,0,0,0,0,0,0,0,0
"SRGAP2-AS1",0,0,0,0,0,0,0,0,0,0
"LINC00623",0,0,0,0,0,0,0,0,0,0
"LINC00869",0,0,11,10.5,0.5,11,0,0,0,0
"LIX1L",927,628,1493,755,1644,938,708,554,918,1102
"PDE4DIP",5701,3883,4600,4262,2739,6551,5726,5747,3691,3110
"RNF115",941,586,1732,788,960,1065,776,1170,551,1108
"NOTCH2NL",787,1492,1083,1748,1392,2269,1019,934,899,1311
"SEC22B",15929,15218,11470,12543,11028,16145,13359,15901,13747,10712
"FMO5",340,528,127,123,206,326,488,226,202,479
"NBPF12",0,1,10,7,8,1,4,0,5,9
"NBPF11",0,0,0,0,0,0,0,0,0,0
"LOC101927468",18,10,2,1,0,0,5,12,8,10
"LINC00624",1,0,0,0,0,0,0,0,0,0
"BCL9",638,671,1501,651,1218,869,1761,586,1196,1387
"GPR89B",64,45,59,18,41,28,63,35,100,49
"FAM231D",0,0,0,0,0,0,0,0,0,0
"PPIAL4B+PPIAL4C",0,0,0,0,0,0,0,0,0,0
"LOC388692",1,6,0,0,2,0,0,0,1,0
"ENSA",3626,6146,5834,4592,4674,5031,4182,4170,5643,5085
"TARS2",2806,2830,1483,4437,1809,742,1187,2146,1746,3446
"VPS45",1984,2937,2395,1718,1393,1962,1650,1891,1320,1942
"CTSS",13207,3756,4358,17584,3799,17374,15370,16105,8278,3594
"RPRD2",1079,1494,1182,803,572,615,606,409,1343,1284
"TUFT1",297,778,603,543,597,1230,545,1023,694,500
"ZNF687",1881,782,1845,1553,841,1697,860,436,848,1360
"POGZ",1822,1476,1914,1869,883,1661,828,1183,1513,1263
"SNX27",3639,2327,4056,2320,3991,3329,2641,2990,2853,3164
"RORC",381,598,945,627,525,621,930,732,872,706
"FLG-AS1",1,13,369,27,78,148,20,6,15,20
"CHTOP",3100,3534,2777,3583,4412,4628,3571,3810,5822,5522
"NUP210L",54,296,118,44,7,53,4,42,86,0
"GATAD2B",903,647,579,380,635,543,530,685,717,658
